,Probe,mean_group1,mean_group2,delta_beta,coef_group,t_stat,p_value,n_samples,df_resid,FDR
164880,cg08782356,0.6689135974176414,0.8694492073908491,-0.20053560997320763,-1.5403572902577827,-6.35846198807156,9.154987532529102e-08,49,45,0.04319130863109047
80291,cg04106201,0.721807978405479,0.8503011404624136,-0.12849316205693462,-1.0960623433484042,-5.898668908305304,4.4138385843865096e-07,49,45,0.10411781767516415
286033,cg15975761,0.6909540692263978,0.7792885761347531,-0.08833450690835531,-0.6292627235043384,-5.5676449252983575,1.3622445482455109e-06,49,45,0.12853567414534378
404311,cg23640328,0.8917179313554777,0.8705673894188297,0.021150541936648004,0.2985722077270213,5.639216914224686,1.0683036253346482e-06,49,45,0.12853567414534378
162600,cg08644598,0.708164338645358,0.7630874271471941,-0.05492308850183614,-0.40685871537234436,-5.602618115036203,1.2097472754539227e-06,49,45,0.12853567414534378
331954,cg18831910,0.2695699292935266,0.40156707852472673,-0.13199714923120015,-1.020291443254078,-5.402716789579842,2.381249127134482e-06,49,45,0.1872372219917298
32520,cg01614237,0.14605637078014777,0.07484605467102151,0.07121031610912626,0.9797143059235736,5.305029119815169,3.310843893030693e-06,49,45,0.1952483276262659
435102,cg25607032,0.8959154733754283,0.9395281050356674,-0.0436126316602391,-0.8055346874066576,-5.339795143711247,2.944747834944328e-06,49,45,0.1952483276262659
218374,cg12000932,0.7715781127648335,0.8621768708509782,-0.0905987580861447,-0.8680719209932041,-5.197424763519465,4.754210953294303e-06,49,45,0.24921520992602586
247954,cg13792579,0.22930908198838978,0.0861719565582331,0.14313712543015666,1.3083295445983438,5.146786098093386,5.6340481978347425e-06,49,45,0.25541805849801347
359993,cg20681653,0.9069901318233637,0.9423031687067339,-0.035313036883370175,-0.7431048405708633,-5.104221928324943,6.496721350412295e-06,49,45,0.25541805849801347
43480,cg02179438,0.3210384635582433,0.4034797637906181,-0.08244130023237484,-0.598526061290085,-5.1196357443355955,6.170207154124569e-06,49,45,0.25541805849801347
116820,cg06099126,0.8897398687713007,0.8603487419068031,0.02939112686449763,0.3895262581752427,5.023854441797196,8.496330627666324e-06,49,45,0.3083377205530608
108686,cg05642024,0.22353295984845406,0.3861602654326636,-0.16262730558420951,-1.3676678098810848,-4.928109717167464,1.1682559375363955e-05,49,45,0.39368472711070224
216332,cg11870560,0.319817910568326,0.1985070526028872,0.12131085796543878,0.9336196199559007,4.900452665508637,1.2804895767056474e-05,49,45,0.40273872800574245
320052,cg18093448,0.33519916491773716,0.7738652217955256,-0.4386660568777885,-3.3729136187370368,-4.876536391210892,1.3860630747519642e-05,49,45,0.4086971570896293
201646,cg10968055,0.7745608052112505,0.8609380805928688,-0.08637727538161832,-0.7987329092429591,-4.794084060561484,1.820064113076899e-05,49,45,0.4814605146482452
462922,cg27315579,0.6828369524283825,0.8183130749478961,-0.13547612251951358,-0.9335425918326727,-4.791284577008027,1.8369383257136103e-05,49,45,0.4814605146482452
437193,cg25747783,0.8001034725505073,0.8555605197592367,-0.05545704720872946,-0.5175672245532749,-4.73621492431825,2.2019760697281655e-05,49,45,0.537882693600238
332123,cg18843595,0.798163653731947,0.8635061049951184,-0.0653424512631714,-0.6116006723288534,-4.725585684488159,2.280231606749084e-05,49,45,0.537882693600238
5645,cg00272286,0.7107382910704265,0.7980212977701197,-0.08728300669969313,-0.6672525594764714,-4.6642254206540175,2.7883823708410197e-05,49,45,0.5719566289273936
